"filename", "language", "JSON", "JavaScript React", "Markdown", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/components/Profile/ProfileFollowersModal.jsx", "JavaScript React", 0, 84, 0, 0, 0, 0, 6, 8, 98
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/components/Profile/ProfileSidebar.jsx", "JavaScript React", 0, 84, 0, 0, 0, 0, 0, 8, 92
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/components/Profile/ProfileUpload.jsx", "JavaScript React", 0, 126, 0, 0, 0, 0, 8, 9, 143
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/components/Settings/Settings.jsx", "JavaScript React", 0, 193, 0, 0, 0, 0, 9, 13, 215
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/components/SignUp/SignUp.jsx", "JavaScript React", 0, 138, 0, 0, 0, 0, 0, 12, 150
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/contexts/AuthContext.js", "JavaScript", 0, 0, 0, 153, 0, 0, 16, 16, 185
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/functions/convertTime.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 2, 37
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/functions/resizeImage.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 5, 37
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/functions/theme.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 4, 34
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/index.jsx", "JavaScript React", 0, 9, 0, 0, 0, 0, 0, 2, 11
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/services/firebase.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 4, 25
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/app.css", "CSS", 0, 0, 0, 0, 0, 109, 7, 16, 132
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/home/home.module.css", "CSS", 0, 0, 0, 0, 0, 24, 1, 3, 28
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/home/home__card.module.css", "CSS", 0, 0, 0, 0, 0, 211, 10, 36, 257
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/home/home__feed.module.css", "CSS", 0, 0, 0, 0, 0, 11, 0, 2, 13
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/home/home__login.module.css", "CSS", 0, 0, 0, 0, 0, 24, 0, 1, 25
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/home/home__sidebar.module.css", "CSS", 0, 0, 0, 0, 0, 112, 5, 22, 139
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/messages/message__item.module.css", "CSS", 0, 0, 0, 0, 0, 118, 0, 15, 133
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/messages/messages.module.css", "CSS", 0, 0, 0, 0, 0, 194, 17, 26, 237
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/messages/messagesContact.module.css", "CSS", 0, 0, 0, 0, 0, 50, 0, 8, 58
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/messages/messages__create-menu.module.css", "CSS", 0, 0, 0, 0, 0, 86, 1, 13, 100
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/messages/messages__create-menu__item.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/nav/nav.module.css", "CSS", 0, 0, 0, 0, 0, 177, 4, 30, 211
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/nav/nav__search.module.css", "CSS", 0, 0, 0, 0, 0, 47, 0, 5, 52
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/nav/nav__search__item.module.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 7, 44
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/nav/nav__user-menu.module.css", "CSS", 0, 0, 0, 0, 0, 98, 0, 8, 106
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/notifications/notifications.module.css", "CSS", 0, 0, 0, 0, 0, 95, 0, 7, 102
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/notifications/notifications__item.module.css", "CSS", 0, 0, 0, 0, 0, 71, 0, 15, 86
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/post/post.module.css", "CSS", 0, 0, 0, 0, 0, 54, 0, 6, 60
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/post/post__comment-section.module.css", "CSS", 0, 0, 0, 0, 0, 45, 1, 10, 56
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/post/post__loading.module.css", "CSS", 0, 0, 0, 0, 0, 64, 0, 7, 71
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/post/post__menu.module.css", "CSS", 0, 0, 0, 0, 0, 55, 0, 7, 62
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/post/post__sidebar.module.css", "CSS", 0, 0, 0, 0, 0, 150, 4, 29, 183
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/profile/profile.module.css", "CSS", 0, 0, 0, 0, 0, 155, 2, 23, 180
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/profile/profile__avatar__modal.module.css", "CSS", 0, 0, 0, 0, 0, 38, 0, 4, 42
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/profile/profile__card.module.css", "CSS", 0, 0, 0, 0, 0, 88, 3, 12, 103
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/profile/profile__feed.module.css", "CSS", 0, 0, 0, 0, 0, 51, 1, 5, 57
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/profile/profile__followers-modal.module.css", "CSS", 0, 0, 0, 0, 0, 144, 1, 22, 167
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/profile/profile__sidebar.module.css", "CSS", 0, 0, 0, 0, 0, 109, 2, 20, 131
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/profile/profile__upload.module.css", "CSS", 0, 0, 0, 0, 0, 146, 5, 24, 175
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/settings/settings.module.css", "CSS", 0, 0, 0, 0, 0, 248, 2, 32, 282
"/Users/josh/Documents/git/the_odin_project/instagram-clone/src/styles/sign-up/sign-up.module.css", "CSS", 0, 0, 0, 0, 0, 152, 13, 19, 184
"Total", "-", 40210, 3015, 38, 271, 19, 2963, 202, 830, 47548
